Company Name,Industry Segment,Job Title to Search,Company Size,Location,Priority Tier,Website,Notes
Protolabs,Metal Fabrication,Operations Manager,1000-5000,National (HQ: MN),1,https://www.protolabs.com,CNC machining & injection molding leader
Xometry,Metal Fabrication,Plant Manager,500-1000,National (HQ: MD),1,https://www.xometry.com,On-demand manufacturing marketplace
Baker Industries,Metal Fabrication,Operations Director,200-500,Michigan,1,https://bakerindustries.com,Aerospace & precision machining
Gibson Tool & Die,Metal Fabrication,Plant Manager,100-200,Iowa,1,https://www.gibsontool.com,Precision stamping & tooling
Repliform Inc,Metal Fabrication,Quality Manager,100-200,Connecticut,1,https://www.repliform.com,Metal forming & stretching
Wisconsin Metal Parts,Metal Fabrication,Operations Manager,50-100,Wisconsin,1,https://www.wisconsinmetalparts.com,CNC machining & fabrication
Precision Metalforming,Metal Fabrication,Plant Manager,100-200,Pennsylvania,1,https://www.precisionmetalforming.com,Metal stamping & fabrication
MW Metal Fabrication,Metal Fabrication,Operations Manager,50-100,Ohio,2,https://www.mwmetal.com,Custom metal fabrication
American Iron & Steel,Metal Fabrication,Plant Manager,100-200,Texas,2,https://www.americaniron.com,Structural steel fabrication
Kryton Engineered Metals,Metal Fabrication,Operations Director,50-100,Michigan,2,https://www.kryton.com,Precision sheet metal
Superior Metal Products,Metal Fabrication,Plant Manager,50-100,Indiana,2,https://www.superiormetalproducts.com,Metal fabrication & welding
Metalcrafters Inc,Metal Fabrication,Operations Manager,50-100,California,2,https://www.metalcrafters.com,Custom metal fabrication
Alpha Manufacturing,Metal Fabrication,Plant Manager,100-200,Wisconsin,2,https://www.alphamfg.com,Sheet metal fabrication
Marlin Steel,Metal Fabrication,Operations Manager,50-100,Maryland,2,https://www.marlinwire.com,Wire forms & sheet metal
Paramount Metal Fabricators,Metal Fabrication,Plant Manager,50-100,North Carolina,2,https://www.paramountmetal.com,Structural fabrication
Ironform Corporation,Metal Fabrication,Operations Director,200-500,Illinois,2,https://www.ironform.com,Heavy metal fabrication
Cambridge Metal & Plastics,Metal Fabrication,Plant Manager,50-100,Minnesota,3,https://www.cambridgemetal.com,Metal stamping
Accurate Metal Fabricating,Metal Fabrication,Operations Manager,50-100,Illinois,3,https://www.accuratemetal.com,Sheet metal & welding
Horning Manufacturing,Metal Fabrication,Plant Manager,50-100,Wisconsin,3,https://www.horningmfg.com,Custom fabrication
Steel Dynamics,Metal Fabrication,Operations Director,5000+,National,3,https://www.steeldynamics.com,Steel production & processing
Mayo Clinic,Healthcare,Facilities Manager,10000+,Minnesota,1,https://www.mayoclinic.org,Top academic medical center
Cleveland Clinic,Healthcare,Director of Facilities,10000+,Ohio,1,https://my.clevelandclinic.org,Major health system
Johns Hopkins Hospital,Healthcare,Biomedical Engineering Director,10000+,Maryland,1,https://www.hopkinsmedicine.org,Academic medical center
Kaiser Permanente,Healthcare,Regional Facilities Director,10000+,California/National,1,https://www.kaiserpermanente.org,Large integrated health system
Mount Sinai Health,Healthcare,Facilities Manager,5000-10000,New York,1,https://www.mountsinai.org,NYC health system
Mass General Hospital,Healthcare,Clinical Engineering Manager,5000-10000,Massachusetts,1,https://www.massgeneral.org,Harvard-affiliated hospital
UCSF Medical Center,Healthcare,Facilities Director,5000-10000,California,1,https://www.ucsfhealth.org,Academic medical center
NYU Langone Health,Healthcare,Biomed Manager,5000-10000,New York,1,https://nyulangone.org,NYC health system
Stanford Health Care,Healthcare,Facilities Operations Manager,5000-10000,California,1,https://www.stanfordhealthcare.org,Academic medical center
Duke University Hospital,Healthcare,Clinical Engineering Director,5000-10000,North Carolina,2,https://www.dukehealth.org,Academic medical center
