Company Name,Industry Segment,Public Email,Website,LinkedIn Company Page,Phone,Priority
Protolabs,Metal Fabrication,sales@protolabs.com,https://www.protolabs.com,https://www.linkedin.com/company/protolabs,877-479-3680,1
Xometry,Metal Fabrication,support@xometry.com,https://www.xometry.com,https://www.linkedin.com/company/xometryinc,800-611-6308,1
Baker Industries,Metal Fabrication,info@bakerindustries.com,https://bakerindustries.com,https://www.linkedin.com/company/baker-industries-inc,586-739-9000,1
Gibson Tool & Die,Metal Fabrication,info@gibsontool.com,https://www.gibsontool.com,https://www.linkedin.com/company/gibson-tool-&-die,563-582-5800,1
Repliform Inc,Metal Fabrication,info@repliform.com,https://www.repliform.com,https://www.linkedin.com/company/repliform-inc,860-621-6265,1
Wisconsin Metal Parts,Metal Fabrication,info@wisconsinmetalparts.com,https://www.wisconsinmetalparts.com,https://www.linkedin.com/company/wisconsin-metal-parts,262-560-9100,1
Precision Metalforming,Metal Fabrication,info@precisionmetalforming.com,https://www.precisionmetalforming.com,N/A,610-583-8800,1
MW Metal Fabrication,Metal Fabrication,info@mwmetal.com,https://www.mwmetal.com,N/A,419-748-7161,2
American Iron & Steel,Metal Fabrication,info@americaniron.com,https://www.americaniron.com,https://www.linkedin.com/company/american-iron,903-581-8858,2
Kryton Engineered Metals,Metal Fabrication,info@kryton.com,https://www.kryton.com,N/A,616-844-1500,2
Superior Metal Products,Metal Fabrication,info@superiormetalproducts.com,https://www.superiormetalproducts.com,N/A,574-522-7700,2
Metalcrafters Inc,Metal Fabrication,info@metalcrafters.com,https://www.metalcrafters.com,N/A,714-898-8000,2
Alpha Manufacturing,Metal Fabrication,info@alphamfg.com,https://www.alphamfg.com,https://www.linkedin.com/company/alpha-manufacturing,262-255-4200,2
Marlin Steel,Metal Fabrication,info@marlinwire.com,https://www.marlinwire.com,https://www.linkedin.com/company/marlin-steel-wire-products,410-644-7456,2
Paramount Metal Fabricators,Metal Fabrication,info@paramountmetal.com,https://www.paramountmetal.com,N/A,704-599-1300,2
Mayo Clinic,Healthcare,referrals@mayo.edu,https://www.mayoclinic.org,https://www.linkedin.com/company/mayo-clinic,507-284-2511,1
Cleveland Clinic,Healthcare,contact@ccf.org,https://my.clevelandclinic.org,https://www.linkedin.com/company/cleveland-clinic,216-444-2200,1
Johns Hopkins Hospital,Healthcare,general@jhmi.edu,https://www.hopkinsmedicine.org,https://www.linkedin.com/company/johns-hopkins,410-955-5000,1
Kaiser Permanente,Healthcare,media@kp.org,https://www.kaiserpermanente.org,https://www.linkedin.com/company/kaiser-permanente,800-464-4000,1
Mount Sinai Health,Healthcare,info@mountsinai.org,https://www.mountsinai.org,https://www.linkedin.com/company/mount-sinai-health-system,212-241-4300,1
Mass General Hospital,Healthcare,mghinfo@mgh.harvard.edu,https://www.massgeneral.org,https://www.linkedin.com/company/massachusetts-general-hospital,617-726-2000,1
UCSF Medical Center,Healthcare,contact@ucsf.edu,https://www.ucsfhealth.org,https://www.linkedin.com/company/ucsf,415-476-1000,1
NYU Langone Health,Healthcare,nyulangone@nyulangone.org,https://nyulangone.org,https://www.linkedin.com/company/nyu-langone-health,212-263-7300,1
Stanford Health Care,Healthcare,patientrelations@stanfordhealthcare.org,https://www.stanfordhealthcare.org,https://www.linkedin.com/company/stanford-health-care,650-723-4000,1
Duke University Hospital,Healthcare,contact@duke.edu,https://www.dukehealth.org,https://www.linkedin.com/company/duke-university,919-684-8111,2
Northwestern Medicine,Healthcare,contact@nm.org,https://www.nm.org,https://www.linkedin.com/company/northwestern-medicine,312-926-2000,2
